Grupo	Ca	Mg	Na	K	HCO3	CO3	SO4	Cl
841-7-0037	44	32	51	3	238	0	37	93
841-7-0037	37	30	57	4	183	18	38	92
841-7-0037	45	34	60	4	227	0	46	97
841-7-0037	46	34	61	3	229	0	38	103
841-7-0037	47	36	65	3	230	12	41	112
841-7-0037	41	36	75	5	235	20	17	124
841-7-0037	47	36	75	4	237	12	41	121
841-7-0037	46	38	76	3	268	0	46	125
841-7-0037	46	39	88	4	239	6	55	136
841-7-0037	51	40	77	4	236	0	50	153
841-7-0037	50	56	120	9	320	0	50	190
841-7-0037	55	41	82	4	238	0	47	181
841-7-0037	59	59	126	8	296	0	74	227
841-7-0037	77	60	106	5	226	0	61	277
841-7-0037	80.5	61.3	102.4	4.1	235	0	50.14	307.6
841-7-0037	100	77	180	6	201	0	28	532
841-7-0037	53	84	118	11	251	0	68	288
841-7-0037	81	83	226	8	151	0	72	560
841-7-0037	61	70	203	13	302	0	70	370
841-7-0037	67	71	184	11	228	0	54	406
841-7-0037	101	104	344	25	320	0	83	732
841-7-0037	64.5	58	121.5	6	244	0	55.5	275.2
841-7-0037	54	39.3	108.6	5.3	180	0	39.8	250.8
841-7-0037	58.4	38.3	143.6	8.1	159	0	43.9	324.4
841-7-0037	57	38	109	7.3	168	0	40.8	243
841-7-0006	52	31	23	3	257	0	40	37
841-7-0006	48	37	24	2	279	0	38	38
841-7-0006	43	25	19	1	204	15	12	31
841-7-0006	38	32	15	2	236	10	23	18
841-7-0006	26	31	13	2	224	0	18	18
841-7-0006	35	28	15	2	231	8	13	18
841-7-0006	38	27	10	2	220	0	19	12
841-7-0006	24	27	12	2	176	0	23	14
841-7-0006	36	28	16	2	227	0	38	19
841-7-0006	45	19	11	2	204	3	10	15
841-7-0006	30	32	10	1	207	5	13	16
841-7-0006	47	43	44	2	176	0	47	127
841-7-0006	61	43	61	3	198	0	36	180
841-7-0006	56	45	75	3	173	0	34	205
841-7-0006	73	61	121	5	197	0	44	334
841-7-0006	82	65	139	11	203	0	38	384
841-7-0006	77	61	142	4	221	0	40	380
841-7-0006	76	59	146	4	192	0	40	380
841-7-0006	67	55	203	6	199	0	31	420
841-7-0006	81	60	129	3	189	0	20	417
841-7-0006	99.58	63.87	186.29	3.77	214	0	49.1	470
